Id_encuesta,id_usuario,Id_curso,Tipo_clase,fecha,preparado_clases,dominio_materia,mantiene_atencion,relaciona_con_ejemplos,ejemplos_mundo_profesional,accesible_y_atiende_consultas,fomenta_colaboracion,puntualidad,referencias_en_redes,recomendaria_profesor,organiza_actividades,contenidos_adecuados,grado_dificultad,conocimientos_utiles_futuro,clase_duracion,clase_horario,clase_conveniencia_dia,clase_calidad_conexion,clase_visibilidad_pantalla,clase_calidad_audio,velocidad_respuesta,utilidad_anuncios,satisfaccion_general,comentarios
E0001,U1179,C0001,Híbrido,2023-01-05 19:05:05,5,4,3,4,4,1,3,5,4,1,3,3,4,1,Mal,Genial,Regular,Bien,Genial,Genial,5,4,2,"Desde el primer módulo he sentido que el ritmo de clase es aceptable, aunque no siempre perfecto. El equipo docente cuida los ritmos y los descansos."
E0002,U0866,C0009,Híbrido,2023-01-06 08:31:27,2,4,5,5,2,5,4,5,5,4,3,5,3,1,Genial,Regular,Genial,Regular,Regular,Genial,5,2,3,"Cuando comparo esta formación con otras, percibo que las explicaciones del profesor son correctas pero podrían ser más dinámicas."
E0003,U0102,C0018,Híbrido,2023-01-06 19:28:11,3,2,3,3,1,1,1,2,2,1,1,3,5,2,Pésimo,Pésimo,Pésimo,Mal,Regular,Mal,1,1,1,"Si pienso en el progreso del curso, creo que he echado en falta mayor profundidad en ciertos apartados. Este punto me genera bastante frustración. Hay ejemplos que puedo trasladar directamente a mis proyectos."
E0004,U0440,C0001,Híbrido,2023-01-06 22:41:45,4,5,2,2,3,3,5,3,4,4,4,5,3,5,Bien,Bien,Genial,Pésimo,Bien,Regular,4,3,5,"Cuando comparo esta formación con otras, percibo que en general la plataforma responde bien y es estable. Se aprovechan bien las herramientas colaborativas online."
E0005,U0059,C0017,Online,2023-01-06 23:50:24,1,2,2,2,4,2,1,1,1,2,1,2,2,1,Regular,Pésimo,Pésimo,Pésimo,Mal,Mal,2,1,1,Las clases se me hacen muy pesadas y difíciles de seguir. Este punto me genera bastante frustración. Creo que resume bien cómo vivo el curso.
E0006,U1121,C0016,Online,2023-01-08 03:06:35,2,1,5,1,2,3,5,5,4,4,4,2,5,5,Bien,Genial,Genial,Genial,Regular,Bien,3,5,2,En conversaciones con mis compañeros coincidimos en que el profesor no consigue explicar los contenidos de forma comprensible.
E0007,U0324,C0010,Online,2023-01-08 17:57:17,5,2,5,5,4,5,5,2,4,4,5,5,5,4,Genial,Genial,Bien,Genial,Genial,Bien,5,4,5,Las clases se me pasan rápido porque son dinámicas y entretenidas.
E0008,U0975,C0018,Híbrido,2023-01-09 00:13:26,5,4,4,4,4,5,4,4,4,4,4,5,3,4,Genial,Pésimo,Regular,Genial,Genial,Genial,4,4,4,Desde el primer módulo he sentido que las respuestas del equipo de soporte son útiles la mayoría de las veces. Esa impresión se mantiene con el paso de las semanas.
E0009,U0412,C0017,Online,2023-01-09 01:28:49,2,3,5,3,1,1,2,1,1,1,1,1,1,1,Pésimo,Genial,Pésimo,Pésimo,Pésimo,Bien,3,1,1,Echo en falta más actividades prácticas en esta metodología. Consigue equilibrar teoría y casos reales de forma constante.
E0010,U0856,C0024,Online,2023-01-09 14:23:37,4,5,5,4,5,5,5,2,3,5,3,5,2,1,Bien,Pésimo,Genial,Regular,Mal,Genial,5,5,3,Analizando lo que he aprendido siento que en general estoy satisfecho con cómo el profesor lleva las clases. Valoro mucho este aspecto del curso.
