comentario,polaridad,tema,tono,longitud,satisfaccion_min,satisfaccion_max,aspecto_variable,aspecto_valor_min,aspecto_valor_max
"El ritmo de clase es aceptable, aunque no siempre perfecto. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,clase,formal,largo,2,4,clase_horario,2,4
La organización de cada sesión hace que aproveche muy bien el tiempo.,muy_positivo,clase,elogio,corto,4,5,clase_horario,4,5
La experiencia general ha sido muy positiva para mí.,muy_positivo,general,informal,medio,4,5,ninguno,1,5
El balance del curso es claramente positivo para mí.,positivo,general,elogio,corto,3,5,ninguno,1,5
La experiencia global ha sido algo decepcionante.,negativo,general,formal,medio,1,3,ninguno,1,5
"En conjunto, el curso no ha cumplido del todo mis expectativas. Este punto me genera bastante frustración. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,general,queja,largo,1,3,ninguno,1,5
El ritmo de clase no siempre se adapta al grupo.,negativo,clase,formal,corto,1,3,clase_duracion,1,3
Hay partes del contenido que me interesan y otras que no tanto.,neutral,contenido,informal,medio,2,4,contenidos_adecuados,2,4
Me cuesta mantener la atención durante toda la clase.,negativo,clase,constructivo,corto,1,3,clase_conveniencia_dia,1,3
La metodología del curso es muy práctica y facilita mucho el aprendizaje.,muy_positivo,metodologia,formal,medio,4,5,organiza_actividades,4,5
"La experiencia global ha sido buena, con algunos puntos mejorables. Me gustaría que se introdujeran cambios en este sentido.",positivo,general,sugerencia,corto,3,5,ninguno,1,5
"Mi valoración global es intermedia, ni muy alta ni muy baja.",neutral,general,informal,medio,2,4,ninguno,1,5
"El ritmo de clase es aceptable, aunque no siempre perfecto. Me gustaría que se introdujeran cambios en este sentido.",neutral,clase,sugerencia,corto,2,4,clase_duracion,2,4
"En conjunto, el curso no ha cumplido del todo mis expectativas.",negativo,general,formal,corto,1,3,ninguno,1,5
La experiencia general ha sido peor de lo que esperaba.,muy_negativo,general,formal,corto,1,2,ninguno,1,5
La atención al alumno en general es buena.,positivo,soporte,informal,medio,3,5,velocidad_respuesta,3,5
Recomendaría este curso sin dudarlo a otras personas.,muy_positivo,general,informal,corto,4,5,ninguno,1,5
"Me gustaría que la metodología fuera más interactiva. En conjunto, esta parte influye bastante en mi percepción del curso.",negativo,metodologia,formal,largo,1,3,grado_dificultad,1,3
Repetiría una formación similar con esta escuela. Me gustaría que se introdujeran cambios en este sentido.,positivo,general,sugerencia,medio,3,5,ninguno,1,5
El profesor responde a las dudas y facilita el seguimiento del temario.,positivo,profesor,formal,corto,3,5,mantiene_atencion,3,5
"He tenido algunas incidencias técnicas, pero nada grave.",neutral,tecnologia,formal,corto,2,4,clase_visibilidad_pantalla,2,4
Estoy muy satisfecho con la experiencia global del curso.,muy_positivo,general,formal,corto,4,5,ninguno,1,5
"El contenido del curso no ha cumplido mis expectativas. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_negativo,contenido,formal,largo,1,2,contenidos_adecuados,1,2
"El soporte responde de forma correcta, sin destacar demasiado. Creo que aún se podrían mejorar algunos detalles. En conjunto, esta parte influye bastante en mi percepción del curso.",neutral,soporte,constructivo,largo,2,4,utilidad_anuncios,2,4
Las actividades planteadas encajan bien con los objetivos del curso.,positivo,metodologia,elogio,corto,3,5,conocimientos_utiles_futuro,3,5
"La calidad técnica es muy mala y rompe el flujo de las clases. Este punto me genera bastante frustración. En conjunto, esta parte influye bastante en mi percepción del curso.",muy_negativo,tecnologia,queja,largo,1,2,clase_calidad_conexion,1,2
El ambiente en clase favorece mucho la participación.,muy_positivo,clase,informal,corto,4,5,clase_conveniencia_dia,4,5
El contenido es profundo y a la vez fácil de seguir.,muy_positivo,contenido,elogio,corto,4,5,conocimientos_utiles_futuro,4,5
El soporte suele responder en un tiempo razonable.,positivo,soporte,constructivo,corto,3,5,velocidad_respuesta,3,5
